CDNs in BR    	\% resources        	CDNs in GB         	\% resources       	CDNs in CN    	\% resources       	CDNs in ZA    	\% resources       	CDNs in AU    	\% resources        	CDNs in IN         	\% resources       	CDNs in TR    	\% resources       	CDNs in RU    	\% resources       	CDNs in DE    	\% resources       	CDNs in US    	\% resources
Rackspace     	0.28889806025588116 	Taobao             	0.23629489603024575	jsDelivr      	0.20876826722338204	jsDelivr      	0.09066183136899365	section.io    	0.1774622892635315  	BitGravity         	0.1291155584247902 	Incapsula     	0.2617801047120419 	Level3        	0.19157088122605365	KeyCDN        	0.176522506619594  	Taobao        	0.17286084701815038
Telefonica    	0.20635575732562939 	Yottaa             	0.14177693761814744	BunnyCDN      	0.20876826722338204	Tencent       	0.09066183136899365	Tencent       	0.13309671694764863 	Incapsula          	0.0645577792123951 	Highwinds     	0.2617801047120419 	jsDelivr      	0.09578544061302682	CDNetworks    	0.1323918799646955 	Rackspace     	0.17286084701815038
LambdaCDN     	0.1650846058605035  	KeyCDN             	0.14177693761814744	Limelight     	0.13917884481558804	Netlify       	0.09066183136899365	LambdaCDN     	0.08873114463176575 	Netlify            	0.0645577792123951 	Tencent       	0.2181500872600349 	Cachefly      	0.09578544061302682	Rackspace     	0.1323918799646955 	LambdaCDN     	0.08643042350907519
Taobao        	0.12381345439537764 	jsDelivr           	0.04725897920604915	KINXCDN       	0.06958942240779402	Rackspace     	0.09066183136899365	CDNetworks    	0.08873114463176575 	KeyCDN             	0.0645577792123951 	Yottaa        	0.13089005235602094	-             	-                  	Medianova     	0.088261253309797  	CDNetworks    	0.08643042350907519
KeyCDN        	0.08254230293025175 	ChinaNetCenter     	0.04725897920604915	ChinaCache    	0.06958942240779402	-             	-                  	Reapleaf      	0.08873114463176575 	WordPress          	0.0645577792123951 	Rackspace     	0.13089005235602094	-             	-                  	Limelight     	0.088261253309797  	Limelight     	0.08643042350907519
OnApp         	0.08254230293025175 	Tata communications	0.04725897920604915	Rackspace     	0.06958942240779402	-             	-                  	jsDelivr      	0.044365572315882874	-                  	-                  	jsDelivr      	0.04363001745200698	-             	-                  	jsDelivr      	0.0441306266548985 	jsDelivr      	0.043215211754537596
jsDelivr      	0.041271151465125874	Limelight          	0.04725897920604915	Alimama       	0.06958942240779402	-             	-                  	Limelight     	0.044365572315882874	-                  	-                  	KeyCDN        	0.04363001745200698	-             	-                  	Yottaa        	0.0441306266548985 	Internap      	0.043215211754537596
CDNetworks    	0.041271151465125874	Netlify            	0.04725897920604915	Netlify       	0.06958942240779402	-             	-                  	SFR           	0.044365572315882874	-                  	-                  	-             	-                  	-             	-                  	Internap      	0.0441306266548985 	Reapleaf      	0.043215211754537596
Internap      	0.041271151465125874	-                  	-                  	-             	-                  	-             	-                  	ChinaNetCenter	0.044365572315882874	-                  	-                  	-             	-                  	-             	-                  	-             	-                  	Netlify       	0.043215211754537596
Cachefly      	0.041271151465125874	-                  	-                  	-             	-                  	-             	-                  	Yottaa        	0.044365572315882874	-                  	-                  	-             	-                  	-             	-                  	-             	-                  	-             	-
-             	-                   	-                  	-                  	-             	-                  	-             	-                  	Netlify       	0.044365572315882874	-                  	-                  	-             	-                  	-             	-                  	-             	-                  	-             	-
-             	-                   	-                  	-                  	-             	-                  	-             	-                  	KeyCDN        	0.044365572315882874	-                  	-                  	-             	-                  	-             	-                  	-             	-                  	-             	-
-             	-                   	-                  	-                  	-             	-                  	-             	-                  	-             	-                   	-                  	-                  	-             	-                  	-             	-                  	-             	-                  	-             	-
